data/livejournal-groupmemberships/livejournal.txt 
graph size:n1: 3201203 n2:7489073, m 112307385
2201256 7488029, 9736 14  0
2201256 7488171, 10492 13  0
2201256 7488194, 11590 12  0
2201256 7488250, 11977 11  0
2201256 7488363, 13803 10  0
2201256 7488377, 12127 9  0
2201256 7488390, 11463 8  0
2201256 7488569, 18575 7  0
2201256 7488590, 18010 6  0
2201256 7488755, 23080 5  0
2201256 7488878, 28318 4  0
2201256 7489007, 54742 3  0
2201256 7489043, 100664 2  0
2201256 7489057, 121948 1  0
2201257 6307101, 2 31  0
2201257 6737835, 1 30  0
2201257 7086691, 2 29  0
2201257 7418771, 46 28  0
2201257 7419174, 39 27  0
2201257 7424275, 61 26  0
2201257 7431401, 64 25  0
2201257 7442767, 85 24  0
2201257 7446338, 109 23  0
2201257 7447991, 98 22  0
2201257 7451867, 173 21  0
2201257 7453532, 103 20  0
2201257 7466726, 217 19  0
2201257 7468805, 397 18  0
2201257 7477365, 803 17  0
2201257 7480721, 1001 16  0
2201257 7482149, 1351 15  0
2201257 7485153, 2056 14  0
2201257 7485273, 2285 13  0
2201257 7486251, 2558 12  0
2201257 7486478, 3119 11  0
2201257 7487450, 6660 10  0
2201257 7487656, 7361 9  0
2201257 7487995, 3449 8  0
2201257 7488081, 9186 7  0
2201257 7488150, 5427 6  0
2201257 7488570, 6323 5  0
2201257 7488732, 7293 4  0
2201257 7488857, 11596 3  0
2201257 7488903, 22147 2  0
2201257 7488969, 28365 1  0
2201258 6124641, 1 33  0
2201258 6637022, 3 32  0
2201258 7262025, 13 31  0
2201258 7377406, 41 30  0
2201258 7396229, 25 29  0
2201258 7404271, 21 28  0
2201258 7405108, 29 27  0
2201258 7460278, 130 26  0
2201258 7464218, 189 25  0
2201258 7464338, 230 24  0
2201258 7468769, 294 23  0
2201258 7474424, 271 22  0
2201258 7475570, 548 21  0
2201258 7477098, 740 20  0
2201258 7478077, 335 19  0
2201258 7483086, 808 18  0
2201258 7483797, 1256 17  0
2201258 7484341, 1456 16  0
2201258 7485202, 2048 15  0
2201258 7485647, 2353 14  0
2201258 7485827, 2107 13  0
2201258 7485933, 2324 12  0
2201258 7486147, 2738 11  0
2201258 7487498, 4584 10  0
2201258 7488310, 9209 9  0
2201258 7488606, 10887 8  0
2201258 7488732, 6606 7  0
2201258 7488753, 13809 6  0
2201258 7488757, 10000 5  0
2201258 7488769, 11338 4  0
2201258 7488783, 15468 3  0
2201258 7488859, 20366 2  0
2201258 7488887, 17717 1  0
2201259 7435566, 93 35  0
2201259 7442459, 129 34  0
2201259 7456636, 221 33  0
2201259 7459323, 252 32  0
2201259 7461643, 120 31  0
2201259 7461826, 284 30  0
2201259 7464369, 295 29  0
2201259 7465605, 329 28  0
2201259 7469423, 461 27  0
2201259 7471544, 468 26  0
2201259 7471643, 537 25  0
2201259 7472115, 529 24  0
2201259 7472206, 470 23  0
2201259 7473584, 611 22  0
2201259 7476315, 748 21  0
2201259 7476453, 445 20  0
2201259 7477666, 641 19  0
2201259 7480536, 883 18  0
2201259 7485054, 1977 17  0
2201259 7485122, 1655 16  0
2201259 7485236, 2258 15  0
2201259 7487708, 6720 14  0
2201259 7488106, 8531 13  0
2201259 7488325, 8648 12  0
2201259 7488459, 17117 11  0
2201259 7488472, 11751 10  0
2201259 7488685, 14350 9  0
2201259 7488753, 13392 8  0
2201259 7488754, 23348 7  0
2201259 7488827, 16470 6  0
2201259 7488844, 27400 5  0
2201259 7488983, 46223 4  0
2201259 7488996, 50876 3  0
2201259 7489011, 53668 2  0
2201259 7489014, 30666 1  0
2201260 6658634, 2 31  0
2201260 6851499, 1 30  0
2201260 6936344, 4 29  0
2201260 7232418, 5 27  0
2201260 7237577, 10 26  0
2201260 7250523, 13 25  0
2201260 7289315, 22 24  0
2201260 7343176, 23 23  0
2201260 7346455, 32 22  0
2201260 7389411, 52 21  0
2201260 7390364, 54 20  0
2201260 7402001, 66 19  0
2201260 7408216, 63 18  0
2201260 7422773, 65 17  0
2201260 7429162, 95 16  0
2201260 7433161, 78 15  0
2201260 7459848, 149 14  0
2201260 7463828, 235 13  0
2201260 7469185, 388 12  0
2201260 7471334, 470 11  0
2201260 7472485, 274 10  0
2201260 7475205, 410 9  0
2201260 7475691, 346 8  0
2201260 7477123, 271 7  0
2201260 7479650, 676 6  0
2201260 7480193, 743 5  0
2201260 7481093, 243 4  0
2201260 7481899, 831 3  0
2201260 7483389, 768 2  0
2201260 7488611, 2182 1  0
2201261 6456500, 1 29  0
2201261 6456501, 1 28  0
2201261 6456502, 1 27  0
2201261 6456503, 1 26  0
2201261 6640960, 2 24  0
2201261 6665633, 1 23  0
2201261 6793818, 2 22  0
2201261 6857195, 3 21  0
2201261 6873842, 3 20  0
2201261 7140975, 6 19  0
2201261 7240080, 5 18  0
2201261 7309110, 20 17  0
22
